user,item,label
2269,53,1
6033,1159,1
4236,821,1
2160,219,1
2675,1009,1
3001,1111,1
102,449,1
2281,1604,1
3519,318,1
3949,226,1
2543,779,1
1631,415,1
1940,395,1
954,453,1
3940,73,1
359,414,1
3412,219,1
4120,318,1
5193,843,1
5994,932,1
2623,850,1
3725,132,1
6023,953,1
1834,398,1
2376,91,1
821,37,1
4810,442,1
3589,1457,1
5818,271,1
3201,695,1
3938,473,1
4498,1271,1
729,839,1
2994,73,1
4953,1677,1
183,19,1
2163,1331,1
785,533,1
2180,1018,1
4167,773,1
132,81,1
5316,196,1
5674,66,1
5785,463,1
2379,884,1
128,271,1
1171,83,1
2029,1382,1
2752,239,1
1865,605,1
5638,84,1
3933,186,1
1262,974,1
3990,749,1
3330,383,1
4275,547,1
2239,692,1
1407,102,1
3418,66,1
4351,185,1
4283,388,1
330,317,1
5356,2188,1
4167,88,1
4720,141,1
4838,1340,1
4515,2283,1
3951,1155,1
4092,887,1
2400,763,1
2163,886,1
2503,1700,1
4203,335,1
2210,876,1
748,348,1
4387,88,1
2690,379,1
34,1101,1
1638,691,1
2278,2048,1
1065,1852,1
1245,245,1
2465,947,1
5988,77,1
189,1484,1
904,99,1
4191,65,1
2460,35,1
207,109,1
817,30,1
1644,1054,1
1789,2744,1
532,36,1
902,17,1
5126,125,1
636,3,1
3784,195,1
868,2255,1
1675,1245,1
3065,1292,1
5545,834,1
3766,2415,1
474,481,1
443,207,1
2076,2347,1
5904,228,1
5449,101,1
3457,616,1
1382,245,1
3950,501,1
5151,1846,1
4283,723,1
1644,747,1
1901,301,1
4721,492,1
4222,271,1
3066,423,1
1183,40,1
4857,147,1
1205,548,1
2994,69,1
2186,548,1
3587,99,1
4809,330,1
4855,1004,1
4316,196,1
3673,110,1
5193,436,1
4475,87,1
638,88,1
5106,90,1
35,526,1
1307,112,1
4502,767,1
983,377,1
2984,1618,1
132,99,1
2747,218,1
2029,778,1
3850,427,1
6007,7,1
3449,828,1
4192,15,1
5904,2426,1
2581,201,1
269,134,1
367,472,1
2864,118,1
5010,191,1
3727,291,1
1129,36,1
1610,526,1
4196,983,1
1500,278,1
5153,569,1
5204,600,1
4666,588,1
5079,189,1
4275,801,1
437,30,1
1302,3094,1
2243,283,1
3041,1028,1
5162,264,1
3976,99,1
1999,7,1
4113,375,1
2536,161,1
5819,3,1
4477,325,1
3413,477,1
3481,282,1
5872,310,1
5218,218,1
145,316,1
1447,2315,1
4797,657,1
5982,110,1
4167,554,1
5640,481,1
4985,1114,1
1583,416,1
460,147,1
2331,1172,1
4211,1012,1
4587,420,1
5678,1051,1
300,188,1
2667,87,1
468,1072,1
5499,53,1
5733,282,1
4485,848,1
5317,1874,1
2302,1358,1
5884,227,1
5679,163,1
3628,384,1
628,1643,1
2202,517,1
2693,435,1
3638,61,1
1888,125,1
689,703,1
475,857,1
2729,43,1
5492,257,1
5699,187,1
1240,1687,1
2205,1327,1
1823,50,1
4104,161,1
4504,2410,1
1911,42,1
1512,2370,1
4552,569,1
5251,141,1
3318,2133,1
2994,1659,1
180,328,1
92,501,1
4519,880,1
5622,198,1
5276,1457,1
1105,19,1
5935,1007,1
1687,49,1
2668,1189,1
1752,311,1
4745,2965,1
554,624,1
3310,1599,1
2099,597,1
3443,82,1
3956,37,1
5592,2521,1
1425,124,1
4495,154,1
1642,652,1
223,137,1
4803,863,1
4303,826,1
5671,42,1
4393,1010,1
2646,264,1
4892,256,1
5407,1168,1
1018,179,1
5161,2065,1
1434,176,1
1982,1611,1
2749,1294,1
1424,37,1
5276,144,1
3418,60,1
2107,30,1
2241,716,1
3832,804,1
1172,378,1
2315,1105,1
4243,480,1
4539,32,1
2453,256,1
5990,835,1
441,1480,1
2748,1172,1
1171,191,1
4385,258,1
3139,1810,1
3733,528,1
1855,1381,1
3958,60,1
5842,1056,1
3031,369,1
2592,1426,1
849,2229,1
1730,549,1
1605,2402,1
1446,523,1
723,1136,1
4676,43,1
4576,1220,1
5753,725,1
4644,2921,1
430,88,1
3950,110,1
5999,408,1
237,241,1
5312,169,1
5782,160,1
2773,841,1
4917,470,1
4342,74,1
5158,348,1
5783,48,1
3374,508,1
1424,9,1
234,140,1
3137,219,1
1163,1121,1
1997,569,1
5940,284,1
4408,306,1
5826,825,1
3968,922,1
2714,1571,1
842,586,1
1605,1571,1
2561,148,1
2081,802,1
5804,4,1
3706,862,1
1605,83,1
3468,1011,1
4320,312,1
1464,519,1
1123,303,1
2278,111,1
2252,96,1
2239,1137,1
888,549,1
4435,141,1
731,298,1
1149,134,1
4901,734,1
148,1958,1
3619,1930,1
4040,1069,1
452,118,1
1108,336,1
4912,391,1
4467,774,1
5132,1409,1
4434,188,1
3013,1858,1
1512,86,1
1960,149,1
5907,16,1
8,325,1
898,316,1
3291,978,1
16,689,1
4014,2542,1
1752,2779,1
1259,73,1
2506,16,1
2740,87,1
1902,1791,1
669,158,1
975,186,1
5832,1371,1
801,40,1
2137,292,1
3689,163,1
3486,2052,1
3566,66,1
5566,1316,1
2772,167,1
5220,380,1
5384,30,1
4177,32,1
5517,209,1
3936,30,1
4275,2440,1
3715,136,1
4592,2482,1
475,82,1
3914,861,1
3588,1187,1
5167,1167,1
5766,877,1
3969,1317,1
392,579,1
457,188,1
4139,606,1
5734,43,1
2927,84,1
4897,837,1
5085,877,1
1316,271,1
1124,286,1
5670,416,1
1896,1532,1
